mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.036279916763305664,0.0,0.003233671188354492,0.0,0.8,0.01,3,200,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-1083426.3604651163,-1083426.3604651163,0.0,16
0.03807663917541504,0.0,0.0031671524047851562,0.0,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1103751.034883721,-1103751.034883721,0.0,22
0.06574821472167969,0.0,0.0035533905029296875,0.0,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1114904.2558139535,-1114904.2558139535,0.0,23
0.09911346435546875,0.0,0.05809974670410156,0.0,0.8,0.01,3,300,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",-1218592.0930232557,-1218592.0930232557,0.0,88
0.07724952697753906,0.0,0.0035927295684814453,0.0,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-1236527.1337209302,-1236527.1337209302,0.0,95
0.12639212608337402,0.0,0.007182598114013672,0.0,0.8,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-1263621.1220930233,-1263621.1220930233,0.0,120
0.05552959442138672,0.0,0.005716562271118164,0.0,0.8,0.01,4,100,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.7}",-1162920.308139535,-1162920.308139535,0.0,46
0.06685185432434082,0.0,0.0051081180572509766,0.0,0.8,0.01,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",-1160179.0290697673,-1160179.0290697673,0.0,42
0.06811237335205078,0.0,0.008119583129882812,0.0,0.8,0.01,4,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",-1149426.8837209302,-1149426.8837209302,0.0,38
0.0964348316192627,0.0,0.009698867797851562,0.0,0.8,0.01,4,200,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}",-1063072.5523255814,-1063072.5523255814,0.0,11
0.08853960037231445,0.0,0.015485048294067383,0.0,0.8,0.01,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",-1060564.1802325582,-1060564.1802325582,0.0,9
